temp_max;temp_avg;temp_min;prec;wd;ws;atmos_pres_avg;atmos_pres_min;atmos_pres_max;rh;ceil_hgt;visibility;FMA
22.9639649;20.99;18.1952371;0;70;5.1;1018.41;1017.506667;1019.283937;65.7;19572.73;26000;0
22.9639649;20.99;18.1952371;0;110;17;1018.41;1017.506667;1019.283937;65.7;60;1000;0
22.9639649;20.99;18.1952371;0;70;5.1;1018.41;1017.506667;1019.283937;65.7;240;3300;0
24.4;24.4;24.4;0;20;5.1;1016.4;1016.4;1016.4;60.3;22000;10000;0
22.9639649;20.99;18.1952371;0;110;5.1;1018.41;1017.506667;1019.283937;65.7;60;1000;0
12.7;12.7;12.7;0;280;6.2;1008.6;1008.6;1008.6;62;780;10000;0
23.5;23.5;23.5;0;90;5.1;1019.8;1019.8;1019.8;90.8;750;8000;0
25;23.88;19;0;231.25;5.7;1018.41;1017.506667;1019.283937;66.31;22000;11265;0
25;23.5;20;0;203;5.1;1018.41;1017.506667;1019.283937;69.42;22000;10923.75;0
29;24.83;22;0;177.78;3.6;1018.41;1017.506667;1019.283937;63.57;16725;11265;0
32;30.38;25;0;177.5;3.6;1018.41;1017.506667;1019.283937;40.69;22000;10070.63;0
31;27.92;24;0;216.67;3.1;1018.41;1017.506667;1019.283937;51.12;19572.73;9900;0
28;25.58;23;0;202.22;3.1;1018.41;1017.506667;1019.283937;59.83;19572.73;9900;0
25;23.17;21;0;176.36;4.1;1018.41;1017.506667;1019.283937;78.08;19860;11037.5;0
26;23.83;20;0;200;3.1;1018.41;1017.506667;1019.283937;72.11;22000;10241.25;0
26;23.45;20;0;231.11;5.1;1018.41;1017.506667;1019.283937;72.55;22000;10892.73;0
25;22.67;20;0;223.33;5.1;1018.41;1017.506667;1019.283937;75.95;13058.33;11265;0
25;22.91;19;0;196.67;5.1;1018.41;1017.506667;1019.283937;70.88;22000;10892.73;0
26;22.83;19;0;231.67;4.6;1018.41;1017.506667;1019.283937;74.01;22000;11265;0
26;23.75;20;0;231.67;4.1;1018.41;1017.506667;1019.283937;69.94;22000;11037.5;0
27;24.75;21;0;225.56;5.7;1018.41;1017.506667;1019.283937;62.42;22000;10810;0
26;24.17;21;0;206.67;6.7;1018.41;1017.506667;1019.283937;71.87;22000;11151.25;0
26;23.7;20;0;196.67;5.1;1018.41;1017.506667;1019.283937;77.62;22000;11128.5;0
25;23.09;20;0;228.57;5.1;1018.41;1017.506667;1019.283937;76.91;22000;11016.82;0
25;22.75;19;0;181.25;5.1;1018.41;1017.506667;1019.283937;68.95;22000;11265;0
25;23;20;0;237.78;6.2;1018.41;1017.506667;1019.283937;69.31;14267.27;11265;0
26;23.58;20;0;218.89;6.2;1018.41;1017.506667;1019.283937;64.21;22000;10810;0
26;23.83;20;0;217.27;4.6;1018.41;1017.506667;1019.283937;69.54;22000;11265;0
26;23.92;21;0;209.17;3.6;1018.41;1017.506667;1019.283937;66.46;14919.17;11265;0
27;23.92;20;0;230;5.1;1018.41;1017.506667;1019.283937;66.17;22000;11265;0
25;23.58;20;0;222;5.7;1018.41;1017.506667;1019.283937;67.39;22000;11265;0
26;23.55;20;0;228.89;5.1;1018.41;1017.506667;1019.283937;69.67;22000;11265;0
26;23.9;21;0;220;4.6;1018.41;1017.506667;1019.283937;69.36;22000;11265;0
25;23.89;21;0;182.86;6.2;1018.41;1017.506667;1019.283937;75.4;22000;10810;0
28;24.42;22;0;205;6.7;1018.41;1017.506667;1019.283937;75.42;14916.67;11265;0
27;24.64;22;0;220;7.2;1018.41;1017.506667;1019.283937;73.18;18654.55;11265;0
26;24.25;21;0;214.55;6.2;1018.41;1017.506667;1019.283937;75.28;22000;11265;0
27;24.75;21;0;231.67;4.6;1018.41;1017.506667;1019.283937;70.13;22000;11265;0
27;24.42;21;0;94.29;7.2;1018.41;1017.506667;1019.283937;51.43;12755.56;11265;0
26;23.92;20;0;223.75;4.6;1018.41;1017.506667;1019.283937;56.58;22000;11265;0
26;23.33;20;0;228.75;3.6;1018.41;1017.506667;1019.283937;70.27;22000;11113.33;0
26;24.18;21;0;238.89;5.7;1018.41;1017.506667;1019.283937;71.77;22000;11265;0
26;24.14;21;0;216.67;4.1;1018.41;1017.506667;1019.283937;70.87;22000;10485;0
27;24.89;21;0;206.67;3.6;1018.41;1017.506667;1019.283937;65.7;19572.73;9900;0
26;24.67;23;0;178.33;5.7;1018.41;1017.506667;1019.283937;70.78;22000;10582.5;0
26;23.43;21;0;140;4.6;1018.41;1017.506667;1019.283937;77.14;22000;10875;0
26;24;22;0;190;3.1;1018.41;1017.506667;1019.283937;77.92;15625;11265;0
29;26.86;24;0;191.67;3.1;1018.41;1017.506667;1019.283937;55.33;14966.67;11265;0
27;25.14;23;0;188.33;4.1;1018.41;1017.506667;1019.283937;70.89;22000;10095;0
27;25.22;23;0;207.5;3.6;1018.41;1017.506667;1019.283937;68.59;22000;10506.67;0
29;24.9;21;0;190;3.6;1018.41;1017.506667;1019.283937;71.38;22000;10855.5;0
30;26;22;0;220;5.1;1018.41;1017.506667;1019.283937;60.3;22000;10127.5;0
35;30;27;0;260;5.7;1018.41;1017.506667;1019.283937;51.2;18500;6200;1
36;31.6;27;0;192.5;3.6;1018.41;1017.506667;1019.283937;42.42;22000;9160;1
36;32.25;30;0;203.33;2.6;1018.41;1017.506667;1019.283937;30.8;22000;10070.63;1
31;27;23;0;172.86;4.6;1018.41;1017.506667;1019.283937;65.64;22000;10203.33;0
28;26.27;23;0;219;6.7;1018.41;1017.506667;1019.283937;67.17;22000;10148.18;0
26;24.25;21;0;176;3.6;1018.41;1017.506667;1019.283937;79.33;22000;10696.25;0
27;24.5;21;0;216.25;6.7;1018.41;1017.506667;1019.283937;81.15;22000;10810;0
30;26.67;24;0;217.14;3.6;1018.41;1017.506667;1019.283937;64.02;19572.73;9900;0
31;29.17;24;0;225;3.6;1018.41;1017.506667;1019.283937;41;19572.73;9900;0
28;26.45;24;0;232;4.1;1018.41;1017.506667;1019.283937;61.38;19572.73;9900;0
