temp_max;temp_avg;temp_min;prec;wd;ws;atmos_pres_avg;atmos_pres_min;atmos_pres_max;rh;ceil_hgt;visibility;FMA
17;16.6;15;0;165;6.1;1018.95;1017.947023;1019.979342;77.44;5054;11200;0
19;18.8;18;0;18;5.1;1018.95;1017.947023;1019.979342;63.06;13560;11200;0
20;19.43;18;0;168.33;7.7;1018.95;1017.947023;1019.979342;70.86;22000;11200;0
20;19;17;0;174;4.1;1018.95;1017.947023;1019.979342;70.45;22000;11200;0
21;20.5;19;0;145.14;0;1018.95;1017.947023;1019.979342;77.88;22000;11200;0
21;20.33;18;0;150;5.1;1018.95;1017.947023;1019.979342;70.05;15103.77;9900;0
22;20.57;18;0;156;7.2;1018.95;1017.947023;1019.979342;61.29;15103.77;9900;0
20;19.14;18;0;55;6.1;1018.95;1017.947023;1019.979342;70.23;15103.77;9900;0
19;19;19;0;60;37;1018.95;1017.947023;1019.979342;77.6;15103.77;9900;1
19;18.67;18;0;50;5.1;1018.95;1017.947023;1019.979342;77.57;22000;10766.67;0
20;20;20;0;150;6.1;1018.95;1017.947023;1019.979342;77.8;15103.77;9900;0
20;18;17;0;243.33;6.1;1018.95;1017.947023;1019.979342;81.35;22000;10766.67;0
19;18.5;18;0;30;10.2;1018.95;1017.947023;1019.979342;75.15;22000;11200;0
18;17.67;17;0;33.33;12.3;1018.95;1017.947023;1019.979342;74.17;22000;11200;0
19;19;19;0;28.33;10.2;1018.95;1017.947023;1019.979342;68.97;22000;11200;0
19;18.5;18;0;37.5;10.2;1018.95;1017.947023;1019.979342;81.48;5995;11200;0
21;19.8;19;0;102.5;5.1;1018.95;1017.947023;1019.979342;73.88;22000;11200;0
20;19;18;0;127.14;9.2;1018.95;1017.947023;1019.979342;77.69;22000;11200;0
20;19.83;19;0;123.33;5.1;1018.95;1017.947023;1019.979342;70.97;22000;10550;0
20;19;18;0;133.33;5.1;1018.95;1017.947023;1019.979342;69.72;22000;11200;0
18;18;18;0;50;5.1;1018.95;1017.947023;1019.979342;77.5;22000;10642.86;0
20;19.13;17;0;70;7.7;1018.95;1017.947023;1019.979342;67.36;22000;11200;0
20;18.83;17;0;74.29;7.7;1018.95;1017.947023;1019.979342;69.05;15971.43;11200;0
19;18.33;17;0;83.33;5.1;1018.95;1017.947023;1019.979342;71.3;22000;10766.67;0
19;18.2;17;0;78;7.7;1018.95;1017.947023;1019.979342;67.24;22000;11200;0
18;17.75;17;0;33.75;9.2;1018.95;1017.947023;1019.979342;64.65;16725;11200;0
20;18.75;17;0;33.33;5.1;1018.95;1017.947023;1019.979342;60.9;15103.77;9900;0
20;19;18;0;20;9.2;1018.95;1017.947023;1019.979342;67.36;22000;11200;0
20;19.14;18;0;18.57;6.1;1018.95;1017.947023;1019.979342;62.11;22000;11200;0
20;19;18;0;220;7.7;1018.95;1017.947023;1019.979342;70.96;17780;11200;0
20;19.17;18;0;235;6.1;1018.95;1017.947023;1019.979342;73.2;5090;10983.33;0
20;18.67;18;0;123.33;5.1;1018.95;1017.947023;1019.979342;76.17;7873.33;11200;0
20;19.25;18;0;16.25;5.1;1018.95;1017.947023;1019.979342;73.16;14068.75;11200;0
20;18.63;18;0;28.75;13.3;1018.95;1017.947023;1019.979342;77.54;16710;11200;0
18;17.29;17;0;35;15.4;1018.95;1017.947023;1019.979342;69.17;14065;11200;0
19;18.43;18;0;41.43;15.4;1018.95;1017.947023;1019.979342;70.71;22000;11200;0
19;18.6;18;0;42;15.4;1018.95;1017.947023;1019.979342;69.32;22000;11200;0
19;18.4;18;0;32;12.8;1018.95;1017.947023;1019.979342;61.5;17762;11200;0
19;18.43;18;0;42.5;9.2;1018.95;1017.947023;1019.979342;61.34;8872.5;11200;0
19;18.57;18;0;30;7.7;1018.95;1017.947023;1019.979342;61.77;874.29;11200;0
18;18;18;0;37.5;7.2;1018.95;1017.947023;1019.979342;65.85;11975;11200;0
19;18;17;0;16.67;5.1;1018.95;1017.947023;1019.979342;73.64;22000;10983.33;0
20;19.13;18;0;291.25;7.7;1018.95;1017.947023;1019.979342;78.23;18483.33;11200;0
20;19.5;19;0;360;10.2;1018.95;1017.947023;1019.979342;81.23;18483.33;11200;0
19;18.6;18;0;17.5;12.8;1018.95;1017.947023;1019.979342;74.88;17768;11200;0
19;18.2;18;0;360;10.2;1018.95;1017.947023;1019.979342;81.94;13428;11200;0
19;19;19;0;10;10.2;1018.95;1017.947023;1019.979342;63.8;22000;11200;0
19;18.67;18;0;13.33;10.2;1018.95;1017.947023;1019.979342;61.03;22000;11200;0
17;17;17;0;25;10.2;1018.95;1017.947023;1019.979342;59.3;900;11200;0
19;18.67;18;0;18;10.2;1018.95;1017.947023;1019.979342;66.73;16537.5;11200;0
18;17.5;17;0;23.33;12.8;1018.95;1017.947023;1019.979342;61.48;14966.67;11200;0
18;17.17;17;0;71.43;11.3;1018.95;1017.947023;1019.979342;57.4;9942.86;11200;0
18;17.13;16;0;35.71;7.7;1018.95;1017.947023;1019.979342;71.66;22000;11037.5;0
18;17.86;17;0;57.5;8.2;1018.95;1017.947023;1019.979342;59.59;22000;11200;0
19;17.8;16;0;100;9.2;1018.95;1017.947023;1019.979342;64.52;13560;11200;0
18;17.67;17;0;133.33;12.8;1018.95;1017.947023;1019.979342;69.47;900;11200;0
16;15.75;15;0;210;12.8;1018.95;1017.947023;1019.979342;93.88;4940;7200;0
18;17.75;17;0;356.67;5.1;1018.95;1017.947023;1019.979342;76.38;9118;10760;0
19;18.67;18;0;130;6.1;1018.95;1017.947023;1019.979342;76;22000;11200;0
21;18.8;18;0;44;10.2;1018.95;1017.947023;1019.979342;76.74;9178;11200;0
18;18;18;0;18.57;12.3;1018.95;1017.947023;1019.979342;67.37;16721.25;11200;0
18;18;18;0;21.67;12.3;1018.95;1017.947023;1019.979342;70.3;22000;11200;0
20;18.5;17;0;31.67;8.2;1018.95;1017.947023;1019.979342;64.04;15666.67;11200;0
20;18.86;17;0;148.33;6.1;1018.95;1017.947023;1019.979342;64.6;18985.71;11200;0
16;15.67;15;0;355;15.4;1018.95;1017.947023;1019.979342;90.1;7753.33;8466.67;0
18;18;18;0;145.14;23.1;1018.95;1017.947023;1019.979342;72.6;11355;11200;1
20;19.6;19;0;21.67;14.4;1018.95;1017.947023;1019.979342;65.74;22000;11200;0
21;19;17;0;36;10.2;1018.95;1017.947023;1019.979342;68.27;22000;11200;0
19;17.88;17;0;40;10.2;1018.95;1017.947023;1019.979342;75.68;22000;11037.5;0
18;17.4;17;0;30;15.4;1018.95;1017.947023;1019.979342;66.12;17780;11200;0
18;18;18;0;21.43;12.8;1018.95;1017.947023;1019.979342;62.43;12940;11200;0
19;18.2;17;0;80;11.3;1018.95;1017.947023;1019.979342;69.88;13380;11200;0
19;18.8;18;0;15;15.4;1018.95;1017.947023;1019.979342;70;22000;11200;0
18;17.75;17;0;31.43;10.2;1018.95;1017.947023;1019.979342;76.23;22000;11200;0
19;18.4;17;0;16;6.1;1018.95;1017.947023;1019.979342;75.68;22000;10420;0
20;18.6;17;0;350;7.7;1018.95;1017.947023;1019.979342;57.22;18800;11200;0
18;17.25;17;0;190;10.2;1018.95;1017.947023;1019.979342;74.1;22000;11200;0
17;16.71;16;0;23.75;15.4;1018.95;1017.947023;1019.979342;58.74;22000;11200;0
18;17.33;16;0;64.29;12.3;1018.95;1017.947023;1019.979342;71.07;12957.14;11200;0
20;18.2;17;0;340;7.7;1018.95;1017.947023;1019.979342;68;14966.67;10680;0
20;20;20;0;145.14;12.8;1018.95;1017.947023;1019.979342;60;7933.33;11200;0
17;16.57;15;0;345;12.8;1018.95;1017.947023;1019.979342;61.79;900;11200;0
19;18.5;18;0;335;10.2;1018.95;1017.947023;1019.979342;53.95;22000;11200;0
