temp_max;temp_avg;temp_min;prec;wd;ws;atmos_pres_avg;atmos_pres_min;atmos_pres_max;rh;ceil_hgt;visibility;FMA
13;11.33;10;0;128;2.3;1022.33;1020.8;1023.8;82.22;4116.67;15383.33;0
14;11.2;10;3;312.5;3.666666667;1020.38;1018.8;1021.9;84.55;16217.33;12080;0
15;11.95;8;0;297.37;5.842857143;1020.09;1019.1;1021.9;83.69;18158.24;10523.81;0
16;11.57;8;0;270;1.257142857;1022.65;1021.6;1024.1;82.3;22000;10400;0
16;13.37;10;0;196.25;1.221052632;1025.14;1024;1027.3;77.29;22000;10915.79;0
17;13.32;11;0;136.43;2.385;1027.7;1026.7;1028.6;77.5;14723.33;9863.16;0
17;13.23;10;0;154.55;2.686363636;1027.95;1026.4;1029.6;51.81;22000;11736.36;0
17;13.04;10;0;158.18;3.808695652;1028.04;1026.5;1029.5;51.23;22000;9695.65;0
17;13.7;12;0;155.79;4.865;1027.77;1026.7;1029;39.53;22000;10405;0
17;13.45;10;0;163.57;2.325;1026.2;1024;1028.2;49.57;22000;9810;0
19;13.75;11;0;191.11;1.975;1024.66;1022.5;1026.9;34.5;22000;11793.75;0
19;13.07;10;0;246.36;3.6;1024.16;1022.6;1025.5;42.94;22000;12193.33;0
16;11.3;8;0;241.33;3.326086957;1026.75;1025.1;1027.7;85.18;22000;10521.74;0
15;11.65;8;300;195.33;2.75;1027.6;1025.9;1028.8;80.36;22000;10415;1
17;11.8;9;0;261.67;2.65;1026.53;1024.1;1028.3;81.62;22000;11165;0
15;12.5;10;0;179.29;3.511111111;1027.72;1026.4;1029.4;89.83;1710.63;10327.78;0
14;12.41;11;0;138.95;3.881818182;1027.94;1027.3;1028.5;90.95;4275.45;10618.18;0
14;11.76;10;0;132;4.214285714;1027.23;1025.9;1028.8;92.35;11665.79;8552.38;0
15;11.81;10;0;143.13;2.957142857;1026.73;1025.2;1027.8;89.92;18368.33;10452.38;0
17;13.73;10;0;173.64;2.846666667;1026.93;1025.6;1027.8;63.45;19257.5;9073.33;0
15;12.2;10;0;152.22;1.6;1027.99;1026.3;1029.3;68.86;22000;10638.1;0
14;11.32;8;0;142;1.6;1026.58;1024.9;1028;78.5;16588.13;11252.63;0
13;11.2;9;0;131.67;3.06;1026.03;1025;1027;79.24;5213.89;11640;0
14;11.11;9;0;136.88;3.426315789;1025.51;1024.1;1027.1;84.99;19106.67;11521.05;0
14;10.37;8;0;135.71;1.552631579;1025.85;1024.8;1026.8;82.65;22000;11305.26;0
14;10.38;7;0;127.5;3.014285714;1026.91;1026.3;1027.8;79.63;22000;11071.43;0
15;11.6;10;0;127.06;4.585;1025.6;1023.9;1027.2;86.52;17187.78;10940;0
15;11.74;10;0;258.75;4.345;1023.46;1021.8;1025.5;81.39;15985.56;13825;0
15;11.89;10;0;298.82;4.563157895;1022.4;1020.9;1023.9;78.43;13551.11;11984.21;0
13;11.41;10;6;304.78;5.504347826;1022.41;1021.7;1023.6;88.58;3358.57;9030.43;0
15;11.82;9;0;303.33;4.127272727;1023.2;1021.8;1024.7;84.84;12382.22;11195.45;0
15;11.95;9;0;289.5;5.057142857;1022.6;1021.3;1023.6;81.54;13592.78;11252.38;0
16;12.2;10;0;312;5.575;1023.09;1021.9;1023.9;85.87;20848.42;11630;0
14;11.96;9;0;146.47;3.175;1024.79;1023.5;1026;82.14;13873.75;11241.67;0
15;11.39;9;0;171.76;3.52173913;1026.29;1025.1;1027.3;73.98;18228.7;11512.5;0
17;12.29;9;0;182.78;3.780952381;1025.8;1023.8;1027.5;80.13;14762.67;11185.71;0
14;11.63;9;0;140;4.163157895;1026;1024.7;1027.4;86.34;17460;13252.63;0
14;11.71;10;0;75;2.920833333;1022.91;1020.8;1025.9;77.72;1346.67;11043.48;0
15;12.94;11;0;275.45;3.50625;1018.94;1017.4;1021.2;74.35;455.29;12752.94;0
14;12.14;10;0;319.52;4.752380952;1019.71;1018.7;1020.9;76.07;6652.86;11504.76;0
14;11.13;9;0;217.65;3.304347826;1022.25;1020.7;1023.6;89.54;12825.71;11195.65;0
16;11.81;7;0;288.82;4.1;1024.44;1022.5;1028.8;82.4;22000;11947.62;0
17;13.1;10;0;300.5;8.005;1024.91;1023.2;1026;80.64;13027.65;10671.43;0
16;13.32;12;0;318.95;8.410526316;1025.33;1024.2;1027;86.72;7885.59;9010.53;0
14;12.11;11;2;313.33;8.438888889;1024.28;1022.6;1025.5;83.7;15957.22;11244.44;0
14;12;11;2;330.5;10.17;1023.99;1022.8;1025.4;90.18;4573.25;8365;0
13;11.14;10;0;339.52;9.852380952;1025.61;1025.1;1026.9;72;3442.86;10971.43;0
14;11.05;10;0;336.82;10.09090909;1024.93;1023.6;1026.5;72.66;3334.09;11095.24;0
13;11;10;3;346.82;9.636363636;1025.19;1023.8;1026.7;80.62;2195.83;11425;0
13;10.95;10;3;329;8.605;1025.6;1023.5;1027.3;86.23;5738.5;10340;0
11;10.15;9;17;345.5;9.59;1020.78;1018.5;1023.5;89.04;1347.5;8280;1
12;9.86;8;6;328.1;7.30952381;1018.48;1017.6;1020.1;83.74;5473.81;11038.1;0
